,user id,age,gender,occupation,user id,movie id,rating,release year
0,1,24,M,technician,1,55,5,1994
1,2,53,F,other,2,303,4,1997
2,3,23,M,writer,3,334,3,1997
3,4,24,M,technician,4,359,5,1997
4,5,33,F,other,5,450,1,1989
5,6,42,M,executive,6,501,5,1941
6,7,57,M,administrator,7,226,5,1990
7,8,36,M,administrator,8,259,1,1997
8,9,29,M,student,9,371,5,1996
9,10,53,M,lawyer,10,133,5,1939
10,11,39,F,other,11,208,4,1974
11,12,28,F,other,12,480,4,1959
12,13,47,M,educator,13,672,1,1992
13,14,45,M,scientist,14,211,4,1970
14,15,49,F,educator,15,278,1,1996
15,16,21,M,entertainment,16,240,4,1996
16,17,30,M,programmer,17,276,4,1995
17,18,35,F,other,18,952,2,1995
18,19,40,M,librarian,19,313,2,1997
19,20,42,F,homemaker,20,866,1,1996
20,21,26,M,writer,21,106,2,1996
21,22,25,M,writer,22,385,4,1994
22,23,30,F,artist,23,526,3,1959
23,24,21,F,artist,24,200,5,1980
24,25,39,M,engineer,25,121,4,1996
25,26,49,M,engineer,26,121,3,1996
26,27,40,F,librarian,27,930,2,1996
27,28,32,M,writer,28,322,2,1997
28,29,41,M,programmer,29,326,2,1997
29,30,7,M,student,30,294,4,1997
30,31,24,M,artist,31,299,4,1997
31,32,28,F,student,32,1023,3,1997
32,33,23,M,student,33,271,4,1997
33,34,38,F,administrator,34,259,2,1997
34,35,20,F,homemaker,35,332,4,1997
35,36,19,F,student,36,875,3,1997
36,37,23,M,student,37,578,3,1993
37,38,28,F,other,38,433,5,1989
38,39,41,M,entertainment,39,272,2,1997
39,40,38,M,scientist,40,876,3,1997
40,41,33,M,engineer,41,751,4,1997
41,42,30,M,administrator,42,136,4,1939
42,43,29,F,librarian,43,274,5,1995
43,44,26,M,technician,44,1058,4,1994
44,45,29,M,programmer,45,118,4,1996
45,46,27,F,marketing,46,313,5,1997
46,47,53,M,marketing,47,307,4,1997
47,48,45,M,administrator,48,209,5,1984
48,49,23,F,student,49,268,3,1997
49,50,21,M,writer,50,276,2,1995
50,51,28,M,educator,51,64,4,1994
51,52,18,F,student,52,302,4,1997
52,53,26,M,programmer,53,151,4,1971
53,54,22,M,executive,54,871,5,1997
54,55,37,M,programmer,55,1016,1,1997
55,56,25,M,librarian,56,372,3,1995
56,57,16,M,none,57,1016,4,1997
57,58,27,M,programmer,58,1106,4,1998
58,59,49,M,educator,59,709,5,1992
59,60,50,M,healthcare,60,810,4,1994
60,61,36,M,engineer,61,1127,4,1998
61,62,27,F,administrator,62,652,4,1990
62,63,31,M,marketing,63,269,3,1997
63,64,32,M,educator,64,436,5,1981
64,65,51,F,educator,65,393,4,1993
65,66,23,M,student,66,286,1,1996
66,67,17,M,student,67,105,4,1996
67,68,19,M,student,68,763,1,1996
68,69,24,M,engineer,69,98,5,1991
69,70,27,M,engineer,70,71,3,1994
